top - 14:22:42 up  4:22,  1 user,  load average: 0.25, 0.55, 0.54
Threads: 1583 total,   1 running, 1578 sleeping,   4 stopped,   0 zombie
%Cpu(s):  1.3 us,  1.3 sy,  0.0 ni, 97.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7756.4 total,    264.6 free,   5050.0 used,   2441.8 buff/cache
MiB Swap:   8192.0 total,   6901.3 free,   1290.7 used.   1479.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     91 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     92 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     99 root      20   0       0      0      0 I   0.0   0.0   0:01.32 kworker+
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
    140 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    141 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
    144 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    145 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    146 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
    147 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
    148 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    150 root       0 -20       0      0      0 I   0.0   0.0   0:00.32 kworker+
    152 root      20   0       0      0      0 I   0.0   0.0   0:01.26 kworker+
    154 root      20   0       0      0      0 S   0.0   0.0   0:05.36 kswapd0
    155 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    157 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    158 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
    159 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
    160 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    161 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    162 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125+
    163 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125+
    164 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/126+
    165 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/126+
